"start","end","text"
"2760","10820"," (Transcribed by TurboScribe.ai. Go Unlimited to remove this message.) МИХАИЛ ИГНАТОВ ЦИКЛ ПУТЬ КНИГА ШЕСТНАДЦАТАЯ ОСНОВАНИЕ ПЯТЫЙ ПОЯЗ"
"13030","22650"," Глава первая НИ-ЗА-ЧТО С ненавистью"
"22650","27670"," через невыносимую боль выдохнул Дорогал, ощеревшись окровавленными зубами,"
"27810","33550"," добавил «Орден должен исчезнуть!» и в который раз"
"33550","37470"," потерял сознание, заставив Седова и Красноволосова выругаться."
"38010","40990"," «Так вы ничего не добьетесь!» — снова попытался"
"40990","41990"," я охладить их пыл."
"42770","45130"," К удивлению, на этот раз Красноволосый кивнул. "
"45810","49910"," «Да, старший брат Дорогал как был лучшим, так им"
"49910","50650"," и остается."
"51670","54690"," Жаль только, что он из надежды Ордена стал его"
"54690","56510"," убийцей!» — буркнул Седой."
"57410","58750"," «Громко сказано!"
"59190","62890"," Мы еще живем, и у нас новая надежда!»"
"62890","65690"," Взгляды всех Орденцев скрестились на мне опять. "
"66490","69410"," Я теряю терпение, в который раз напомнил им всем."
"69970","71670"," «Мы слишком долго закрыты здесь."
"72270","76690"," Это слишком подозрительно!» «Отговоримся спорами о будущем!»"
"76690","77690"," — отмахнулся Седой. "
"78430","81390"," «К тому же за нами наблюдает Вартол, глава здешней"
"81390","81850"," фракции."
"82490","85250"," Я, конечно, заключил с ним контракт по сути о"
"85250","88130"," ненападении, и больше он не должен посылать ко мне"
"88130","88570"," убийц."
"89010","93010"," Но вот напасть сам, тем более на Орден, который…»"
"93010","95430"," «Убийц?» — перебил меня красноволосой. "
"95630","97030"," «Больше не посылать?"
"97550","100390"," Да что он о себе возомнил!» Мне как "
"100390","104130","-то неожиданно вспомнились битвы в городе Ян и развалины"
"104130","106190"," на месте когда-то полных жизнедомов."
"106790","110410"," Только повторения подобного мне не хватало, поэтому я процедил."
"110750","111390"," «Довольно. "
"111890","113050"," Я говорю, пора выходить."
"113570","116830"," Самое главное, что нам делать с Морж…» — осекшись,"
