"start","end","text"
"140","3100"," (Transcribed by TurboScribe.ai. Go Unlimited to remove this message.) Да и разве это наказание — в ящике"
"3100","5380"," проспать возрождение Ордена за один миг?"
"6120","6800"," Нет."
"7560","9420"," Глаза Седого мстительно сверкнули."
"9880","12320"," Он должен быть всё это время в сознании. "
"12920","15760"," Я лично волью ему в горло слезы, буду"
"15760","18140"," раз в неделю приходить в темницу и сообщать"
"18140","20340"," ему об успехах возрождения Ордена."
"21200","23780"," Месть — это здорово, но вам бы уже"
"23780","25340"," начать это самое возрождение."
"25920","27640"," Снова влез в разговор зеленорукий. "
"28180","31280"," Две недели, которые нам дал Вартол, пролетят как"
"31280","31560"," миг."
"32220","33280"," Седой повернулся."
"33600","34460"," — А ты кто?"
"35240","36360"," Тот в ответ изумился. "
"36800","37900"," — А ты глухой?"
"38320","41000"," Или не слышал, как младший господин назначил меня"
"41000","42080"," главой школы семьи?"
"42720","44360"," Мне скорее интересно, кто ты?"
"45100","47340"," — Правая рука молодого магистра."
"48180","50360"," — Ну, а я глава школы семьи Сломанного"
"50360","50820"," Клинка."
"51400","54500"," Это мои ученики станут надеждой и будущим поколением"
"54500","54980"," семьи. "
"54980","57920"," — И как, сам всему и будешь их"
"57920","60440"," учить, или все же наберешь учителей?"
"60940","61500"," — А из кого?"
"62020","63739"," — Из Орденцев, будем честными."
"64099","64900"," Из моих людей."
"65800","66780"," Орден распался. "
"67360","68240"," Забудь это слово."
"68840","71180"," Или тут опасаешься врагов, а тут нет?"
"71740","73500"," Я потер бровь и поинтересовался."
"74080","75080"," Вы в своем уме?"
"75860","77840"," Я промолчу, что вы ругаетесь не просто на"
"77840","80460"," моих глазах, а буквально стоя справа и слева"
"80460","83120"," от меня, но вы словно забыли, что отныне"
"83120","84340"," вы друг с другом связаны. "
"84340","87040"," Седой тоже потер лоб, буркнул."
"87480","88880"," — Виноват, молодой магистр."
"89400","93020"," — Младший господин, раз ты вроде как заключил"
"93020","95080"," контракт, — прошипел Зеленорукий. "
"95440","98560"," — Глупо будет дать посторонним ушам столь прекрасный"
"98560","99460"," повод для слухов."
"100220","101920"," — Давай ты не будешь указывать мне?"
"102340","103100"," — начал Седой."
"103680","105440"," Заметил мой взгляд и силой выдохнул. "
"105440","106680"," — Ха!"
"107240","110600"," — помял пальцами переносицу и уже каким-то"
"110600","111680"," другим тоном сказал."
"112280","114260"," — Слушай, Зеленорукий, да?"
"114820","116680"," — Да, Седой, — кивнул тот."
"116900","120120"," — У меня есть прекрасное вино столетней давности. "
"120840","123500"," Я едва не закашлялся, услышав от Седого эти"
"123500","124300"," знакомые слова."
"124820","126600"," — Трофея от одного врага!"
"127360","128220"," — Хм!"
"128580","132260"," — Зеленорукий огладил рукой щеки, негромко произнес."
"132260","135320"," — У меня есть у драконии слива из"
"135320","136460"," четвертого пояса. "
"137080","140740"," Идеально подходит к хорошему вину, раскрывая его вкус."
"141580","142560"," Седой потер руки."
"143060","145720"," — Возможно, само небо свело нас вместе, чтобы"
"145720","146920"," мы помогли друг другу. "
"147640","148680"," Я изумленно спросил."
"149100","150300"," — Вы сейчас серьезно?"
"150840","151980"," У нас дел не в проворот."
"152380","154580"," Вы прямо передо мной договариваетесь о пьянке?"
"155100","158880"," — Младший глава, — всплеснул руками Зеленорукий, —"
"158880","160540"," как вы могли подумать такое?"
"160540","162900"," Не пьянка, а дегустация вина. "
"163460","165560"," — И, конечно же, мы устроим ее не"
"165560","168940"," прямо сейчас, младой глава, — улыбнулся Седой, —"
"168940","172620"," а ночью, когда даже властелины прилягут отдохнуть, устав"
"172620","173040"," от дел."
"173800","175680"," Прежде чем я успел хоть что-то им"
"175680","179260"," ответить, раздался третий голос, голос которого я совсем"
"179260","179900"," не ожидал."
"180480","181180"," — Эй!"
"181400","184300"," Правая и левая рука господина слуг, коллег и"
"184300","186580"," беглецов бесследно исчезнувшего ордена!"
"187020","188700"," А третья чаша у вас найдется?"
"188700","193580"," Не веря восприятию, я обернулся, пересмешник, с кривой"
"193580","197080"," ухмылкой, которая совсем не соответствовала серьезности тона. "
"197900","200020"," Теперь уже я вскинул руки в изумленном жесте"
"200020","202120"," и спросил, — Да что вам всем в"
"202120","202600"," этом вине?"
"203460","204100"," — Младший!"
"204680","207600"," Я оборвал Зеленорукова резким жестом, припечатал."
"208100","210880"," — Делайте ночью что хотите, сейчас за работу."
"211680","214200"," — Конечно, молодой глава, — кивнул Седой. "
"214640","215800"," — Что именно-то работать?"
"215800","217200"," Я процедил."
"217560","219140"," — Седой, не зли меня!"
"219820","222880"," — Молодой глава, напомню, что я должен был"
"222880","225760"," найти вас здесь одного, а тут за каждым"
"225760","227120"," забором по стаду баранов."
"227760","231020"," Зеленоруки добавил, показав, как сходу может спеться с"
"231020","231380"," Седым. "
"231960","234300"," — Из стада эти без хозяина, того и"
"234300","235340"," гляди натворят дел."
"235840","238060"," Сходят с ума от безделия уже который день."
"238760","241180"," Вот и займись ими, назначь пастухов. "
"241720","244480"," Я глянул на Седого, на Зеленорукова и хмыкнул."
"244480","245400"," — Ха!"
"246340","246900"," Займитесь!"
"247600","250020"," Ты и ты, — ткнул по очереди в"
"250020","250340"," обоих."
"250800","252240"," — У кого из вас больше в этом"
"252240","252660"," опыта?"
"253100","253460"," У тебя?"
"253880","254280"," У тебя?"
"254740","255459"," Или у меня?"
"255980","257800"," — И Дорая возьмите для начала. "
"258320","260880"," Она занималась всеми ими до этого, и будет"
"260880","263140"," только счастлива передать дела кому-то из контуров."
"263680","266280"," — Кому-то из старейшин, молодой господин слуг,"
"266380","267300"," коллег и беглецов."
"267660","269340"," Снова влез в разговор пересмешник. "
"270040","272320"," — Вот тоже нужно беспокоиться о том, чтобы"
"272320","274080"," не давать повода для глупых слухов."
"274080","276280"," Так глупо ошибаясь на пустом месте."
"277060","279040"," Я снова в изумлении обернулся на него. "
"279800","280380"," — Верно."
"280840","283820"," Тут же поддержал его Зеленорукий, словно ничуть не"
"283820","285020"," удивленный его словами."
"285520","289040"," — Старейшины, раз вы выторговали себе их девять…"
"289680","290620"," — Выторговали!"
"291160","293360"," — не сдержался один из тех самых контуров,"
"293780","295560"," который все это время стоял в стороне и"
"295560","296980"," делал вид, что его здесь нет. "
"297520","299780"," — Все же добавь больше вежливости в слова,"
"299940","301320"," будущий собутыльник Аранви."
"301320","304280"," — Мы ничего не выторговывали у своего магистра."
