start,end,text
2760,10820,МИХАИЛ ИГНАТОВ ЦИКЛ ПУТЬ КНИГА ШЕСТНАДЦАТАЯ ОСНОВАНИЕ ПЯТЫЙ ПОЯЗ
13030,22650,Глава первая НИ-ЗА-ЧТО С ненавистью
22650,27670,"через невыносимую боль выдохнул Дорогал, ощеревшись окровавленными зубами,"
27810,33550,добавил «Орден должен исчезнуть!» и в который раз
33550,37470,"потерял сознание, заставив Седова и Красноволосова выругаться."
38010,40990,«Так вы ничего не добьетесь!» — снова попытался
40990,41990,я охладить их пыл.
42770,45130,"К удивлению, на этот раз Красноволосый кивнул."
45810,49910,"«Да, старший брат Дорогал как был лучшим, так им"
49910,50650,и остается.
51670,54690,"Жаль только, что он из надежды Ордена стал его"
54690,56510,убийцей!» — буркнул Седой.
57410,58750,«Громко сказано!
59190,62890,"Мы еще живем, и у нас новая надежда!»"
62890,65690,Взгляды всех Орденцев скрестились на мне опять.
66490,69410,"Я теряю терпение, в который раз напомнил им всем."
69970,71670,«Мы слишком долго закрыты здесь.
72270,76690,Это слишком подозрительно!» «Отговоримся спорами о будущем!»
76690,77690,— отмахнулся Седой.
78430,81390,"«К тому же за нами наблюдает Вартол, глава здешней"
81390,81850,фракции.
82490,85250,"Я, конечно, заключил с ним контракт по сути о"
85250,88130,"ненападении, и больше он не должен посылать ко мне"
88130,88570,убийц.
89010,93010,"Но вот напасть сам, тем более на Орден, который…»"
93010,95430,«Убийц?» — перебил меня красноволосой.
95630,97030,«Больше не посылать?
97550,100390,Да что он о себе возомнил!» Мне как
100390,104130,-то неожиданно вспомнились битвы в городе Ян и развалины
104130,106190,на месте когда-то полных жизнедомов.
106790,110410,"Только повторения подобного мне не хватало, поэтому я процедил."
110750,111390,«Довольно.
111890,113050,"Я говорю, пора выходить."
113570,116830,"Самое главное, что нам делать с Морж…» — осекшись,"
116830,120030,поправился — «…с Дорогалом и его людьми».
120030,122430,"«Вот это было хорошо, молодой господин!"
122930,125830,"Вот это прозвучало почти так твердо, как и положено"
125830,128310,молодому магистру!» — похвалил меня Седой.
129070,133010,"Через миг он уперся взглядом в Красноволосого, быстро, короткими"
133010,134190,фразами ведя разговор.
134910,139130,«Проблема!» — «Согласен!» — «Оглашать нельзя!»
139130,140890,— «Ограничить кругом контуров?
141270,146190,Замена?» «Ты брал на этот случай что-то
146190,150270,"из особых запасов?» Они оба поворачивают голову налево,"
150350,151630,но говорит Седой.
152050,156670,"«Брат Шоугат, у тебя остались сомнения?» Тот леденея"
156670,160530,"лицом качает головой, затем словно этого было мало шепчет."
160950,161690,«Не осталось».
162210,165270,"«В молодости я помню, ты одно время служил в"
165270,167210,"том же отделении, что и брат Галум."
167690,171450,"Ты хочешь сказать, чтобы я притворился Дорогалом?» —"
171450,174250,"не спрашивает, а лишь утверждает Шоугат, — «из-за"
174250,176270,моих навыков и стихии».
176270,178950,"Это тот, кого звал на помощь Дорогал и кто"
178950,179830,мешался Седому.
180530,181850,А вот Седой вопрос задает.
182570,183250,«Сумеешь?
183530,184390,Помнишь еще?
184850,186730,Сделаешь?» — «Помню.
187170,187790,Сумею.
188990,189670,Сделаю».
189670,192910,Шоугат сжимает губы в тонкую линию и делает несколько
192910,193730,шагов вперед.
194550,199170,"Остановившись над телом потерявшего сознание морщинистого, Шоугат с десяток"
