"start","end","text"
"410","3090"," (Transcribed by TurboScribe.ai. Go Unlimited to remove this message.) Устал за эти дни, просто коротко приказал —"
"3090","4250"," «Иди»."
"4620","7810"," Наёмников оказалось больше, чем ожидал — четыре властелина"
"7810","11010"," и шесть десятков идущих в подчинённых им отрядах."
"11530","14430"," С последними понятно — чтоб приказали командира, то"
"14430","15370"," они и повторили. "
"16190","19410"," Вперёд шагнул Тартакал, один из тех, кто пытался"
"19410","21210"," победить меня в битве духовной силы."
"21710","24770"," Резко заявил — «Аниматель, мы о таком не"
"24770","28070"," договаривались — добывать ключ без нас!» Седой"
"28070","30470"," тоже шагнул вперёд и рявкнул — «Где твоя"
"30470","31650"," вежливость, наёмник?"
"32010","35910"," Живо поприветствовал главу!» Тартакал изонул Седого злым"
"35910","38670"," взглядом, но тут же согнул спину — не"
"38670","40970"," властелину второй звезды оспаривать приказ старшего."
"41610","45250"," «Аниматель, приветствую вас!» Выпрямившись, всё так же"
"45250","47450"," громко рыкнул он — «Не было о таком"
"47450","50050"," речи!» — «О чём таком?» —"
"50050","53090"," «О поле битвы!» — «Правда, собратья?»"
"53090","55770"," Его тут же поддержали дружным гулом, кто бы"
"55770","56330"," сомневался. "
"56330","59810"," Я пожал плечами и с недоумением уточнил —"
"59810","61530"," «О чём ты, собрат Тартакал?"
"62030","64050"," Мы на поле битвы с момента выхода из"
"64050","66390"," города Пяти ветров, не поздно ли ты начал"
"66390","69750"," беспокоиться?» — «Аниматель!» — изумился в"
"69750","72290"," ответ Тартакал — «О чём вы говорите?"
"72990","76310"," Одно дело — давно безопасное пространство вокруг главного"
"76310","79830"," города Мурлан, совсем другое — каменный лабиринт, в"
"79830","82190"," котором они, по слухам, каждый год теряют по"
"82190","82990"," сотне идущих."
"83550","86350"," Я глянул на солнце, которое показывало, как много"
"86350","88770"," времени мы уже потеряли с этим спором, и"
"88770","90250"," решил закончить его, — сказал."
"90930","92850"," — «Мы долго могли бы перекидываться словами. "
"93290","95290"," Я бы убеждал, что одно дело — окраина"
"95290","98310"," лабиринта, где всё точно так же истоптано идущими"
"98310","101390"," Мурлан, как и в окрестностях их городов, что"
"101390","104050"," совсем другое дело — идти вглубь запретов за"
"104050","104430"," ключом."
"104830","106550"," Но не буду всего этого говорить."
"107030","109810"," В вашем контракте значатся охрана семьи от людей,"
"110170","111630"," зверей и прочей мелочи. "
"112060","114430"," Никто не заставляет вас сражаться с големами или"
"114430","114970"," призраками."
"115430","116650"," Я нарушил контракт?"
"117310","117710"," — Нет."
"118310","121090"," Не оставалось Тартакалу ничего другого, как признать мою"
"121090","121490"," правоту. "
"121870","122650"," — Но..."
"122650","123650"," — Никаких «но»!"
"123910","124750"," — оборвал я его."
"125230","127130"," — Моя половина контракта спокойна."
"127630","130570"," Я ничего не нарушил, но могу пойти навстречу"
"130570","131290"," вашим страхам. "
"131730","132290"," Один раз."
"132890","135810"," Вы можете сейчас разорвать контракт и возвратить мне"
"135810","138190"," мои духовные камни и неустойку сверху."
"138710","139130"," Не хотите?"
"139130","142370"," Тогда занимайте место в построении и дальше молчите,"
"142710","145070"," пока не будет настоящего нарушения контракта. "
"145610","147110"," Даю десять вдохов на решение."
"147690","150430"," Контракты с ним заключались уже с советами старейшин,"
"150830","154210"," включая казначея, и неустойки там значились немалые."
"154730","157350"," Так что Тартакал скрипнул зубами и поклонился. "
"157950","159590"," — Наниматель, мы покоримся!"
"160390","162930"," Я проводил его в спину взглядом и, наконец,"
"163050","163790"," занялся делом."
